CODIGO;NOMBRE;INSTITUCION;DIRECCION;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;COMUNIDAD_AUTONOMA;PAIS;TRANSPORTE;AÑO_FUNDACION;HORARIO;TIPO_ACCESO;NOTAS_ACCESO;TIPO_BIBLIOTECA;TIPO_DEPENDENCIA;PRESTAMO_INTERBIBLIOTECARIO;CATALOGOS_IMPRESOS;OBSERVACIONES
X41000101;Instituto Cervantes. Biblioteca (Londres, Reino Unido);Instituto Cervantes;15-19 Devereux Court;WC2R 3JJ;Londres;;;Reino Unido;;;;Acceso libre;;Especializada;Administración pública central
010540085;Biblioteca Pública Municipal de Izarra (Urkabustaiz, Álava);Ayuntamiento de Urkabustaiz;Plaza Municipal s/n. Izarra;01440;Urkabustaiz;Álava;País Vasco;España;;1971;Lunes-viernes de 17-21;Acceso libre;;General/Pública;Administración local municipal
010540183;Colegio Público Izarra (Urkabustaiz, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Belunzabide s/n. Izarra;01440;Urkabustaiz;Álava;País Vasco;España;;1966;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010550017;Biblioteca Pública Municipal (Valdegovia, Álava);Ayuntamiento de Valdegovia;Arquitecto Jesús Guinea 46;01426;Valdegovía;Álava;País Vasco;España;;2005;Lunes de 17-20, martes-viernes de 10-14 y de 17-20, sábados de 12-14;Acceso libre;;General/Pública;Administración local municipal
010550184;Colegio Público Gobea de Vilanueva de Valdegovia (Valdegovia, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Arquitecto Jesús Guinea 92;01426;Valdegovía;Álava;País Vasco;España;;1969;Lunes-viernes de 10-16;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010580093;Biblioteca Pública Municipal (Legutiano, Álava);Ayuntamiento de Legutiano;Plaza Ortíz de Zarate s/n;01170;Legutiano;Álava;País Vasco;España;;1983;Lunes-viernes de 18-21, sábados de 11-13;Acceso libre;;General/Pública;Administración local municipal
010590001;Biblioteca Provincial de Vitoria-Gasteiz / Biblioteca Pública del Estado Ignacio Aldecoa (Vitoria-Gasteiz, Álava);Diputación Foral de Álava;Paseo de la Florida 9. Casa de Cultura;01005;Vitoria-Gasteiz;Álava;País Vasco;España;;1861;Lunes-viernes de 9-14 y de 16-20, sábados de 9-13'30;Acceso libre;;General/Pública;Admón local provincial, insular, etc.
010590005;Seminario Diocesano (Vitoria-Gasteiz, Álava). Biblioteca;Seminario Diocesano de Vitoria-Gasteiz;Beato Tomás de Zumárraga 67;01008;Vitoria-Gasteiz;Álava;País Vasco;España;;1930;Lunes-jueves de 10-13'30 y de 16-19'30, viernes de 10-13'30;Acceso libre;;Especializada;Iglesia;a nivel local;;En 1990 acoge en sus instalaciones, el Archivo Histórico Diocesano de Vitoria
010590006;Centros de Asistencia Técnica de OSALAN (Vitoria-Gasteiz, Álava). Biblioteca;OSALAN. Instituto Vasco de Seguridad y Salud Laboral;Duque de Wellington 2;01010;Vitoria-Gasteiz;Álava;País Vasco;España;;;Lunes-viernes de 9-17;Acceso libre;;Especializada;Administración autonómica
010590007;Biblioteca Histórica y Archivo Municipal (Vitoria-Gasteiz, Álava);Ayuntamiento de Vitoria-Gasteiz;Paseo de la Universidad 1;01006;Vitoria-Gasteiz;Álava;País Vasco;España;;1850;Lunes-sábado de 9-14. Verano: lunes-viernes de 9-13'30;Acceso libre;;Especializada;Administración local municipal;a nivel local;;"Prensa local como  'El anunciador vitoriano';  'El Heraldo Alaves', 'El Pensamiento Alavés', 'Hoja del Lunes de Vitoria', 'La Gaceta del Norte', 'La Voz de España', 'El Correo Español', 'Deia', 'Egin', 'Gaur', 'La Libertad',  'El Norte Express'. 'Diario Vasco', 'El País' , 'El Mundo' (edición Alava) y  'La Tarde'."
010590008;Audiencia Provincial de Álava (Vitoria-Gasteiz). Biblioteca;Audiencia Provincial de Álava;Avda. Gasteiz 18;01008;Vitoria-Gasteiz;Álava;País Vasco;España;;1953;Laborables de 8'30-15;Acceso restringido;;Especializada;Administración pública central
