Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;Longitud;Latitud;Direccion
143;442474,52;4476217,99;01-07-15;04  SALAMANCA;04-05 LISTA;DIEGO DE LEON, CALLE, DE;54;BiciMAD;24;-36.782.355;40.434.616;DIEGO DE LEON, CALLE, DE, 54
144;442707,74;4475961,24;20-06-15;04  SALAMANCA;04-05 LISTA;JUAN BRAVO, CALLE, DE;50;BiciMAD;24;-36.754.628;404.323.192;JUAN BRAVO, CALLE, DE, 50
145;443050,11;4475675,85;01-07-15;04  SALAMANCA;04-05 LISTA;JOSE ORTEGA Y GASSET, CALLE, DE;87;BiciMAD;24;-3.671.401;404.297.717;JOSE ORTEGA Y GASSET, CALLE, DE, 87
146;442434,99;4477286,31;20-06-15;05  CHAMARTÍN;05-01 EL VISO;MARIA FRANCISCA, CALLE, DE;1;BiciMAD;24;-36.787.983;404.442.372;MARIA FRANCISCA, CALLE, DE, 1
147;442372,1;4477741,71;01-07-15;05  CHAMARTÍN;05-01 EL VISO;DOCTOR ARCE, AVENIDA, DEL;45;BiciMAD;24;-36.795.811;404.483.353;DOCTOR ARCE, AVENIDA, DEL, 45
148;442194,62;4478041,41;01-07-15;05  CHAMARTÍN;05-01 EL VISO;SERRANO, CALLE, DE;210;BiciMAD;24;-36.817.012;404.510.228;SERRANO, CALLE, DE, 210
149;441672,37;4477914,72;01-07-15;05  CHAMARTÍN;05-01 EL VISO;LA HABANA, PASEO, DE;42;BiciMAD;24;-36.878.481;40.449.845;LA HABANA, PASEO, DE, 42
150;441443,71;4477839,96;01-07-15;05  CHAMARTÍN;05-01 EL VISO;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;-36.905.376;404.491.555;CASTELLANA, PASEO, DE LA, S/N
151;441047,09;4477810,46;01-07-15;06  TETUÁN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;10;BiciMAD;24;-36.952.117;404.488.617;ORENSE, CALLE, DE, 10
152;440733,5;4478240,82;01-07-15;06  TETUÁN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;S/N;BiciMAD;24;-36.989.497;404.527.163;GENERAL PERON, AVENIDA, DEL, S/N
153;441229,67;4478195,07;01-07-15;06  TETUÁN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;S/N;BiciMAD;24;-36.930.944;404.523.394;GENERAL PERON, AVENIDA, DEL, S/N
154;441096,52;4478466,6;01-07-15;06  TETUÁN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;36;BiciMAD;24;-36.946.897;40.454.776;ORENSE, CALLE, DE, 36
