NÈMERO CATµLOGO;CATALOGACI‡N PG97;CATALOGACI‡N A 27/07/18;BIC_BIP;DENOMINACI‡N;OBSERVACIONES;VIA_CLASE_TX;VIA_NOMBRE;APP_NUM;APP_CLF;UTMX_ETRS;UTMY_ETRS
30917;Parcial;Descatalogado;;CENTRO TêCNICO INTENDENCIA;;PASEO;EXTREMADURA;439;;434336,61;4471561,98
30602;Parcial;Desaparecido por demolici¢n Total;;;;CALLE;FRANCISCO ROMERO;5;;437108,7;4470454,58
30529;Parcial;Descatalogado;;;Don Antonio de AndrÇs, 12, 13 y 16;PLAZA;DON ANTONIO DE ANDRES;12;;448639,96;4472586,62
30592;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;EUGENIA DE MONTIJO;13;;437084,96;4470459,49
30533;Parcial;Ambiental;;;;CALLE;JARDIN DE LA DUQUESA;10;;448681,76;4472648,96
11223;Remitido;Ambiental;;;;CALLE;CASARRUBUELOS;4;;439984,59;4476229,79
11224;Remitido;Ambiental;;;;CALLE;CASARRUBUELOS;6;;439960,49;4476233,35
11228;Remitido;Desaparecido por Demolici¢n Total;;;;CALLE;CASARRUBUELOS;5;;439968,85;4476223,02
11231;Remitido;Ambiental;;;;CALLE;CASARRUBUELOS;3;;439998,25;4476218,76
11227;Remitido;Ambiental;;;;CALLE;CASARRUBUELOS;7;;439959,91;4476224,33
26315;Remitido;Ambiental;;;;CALLE;CASARRUBUELOS;9;;439951,22;4476225,61
26316;Remitido;Ambiental;;;;CALLE;CASARRUBUELOS;11;;439943,62;4476226,73
32125;Singular;Parcial;;ARQUITECTURA TêCNICA;;AVENIDA;JUAN DE HERRERA;6;;437941,75;4476747,61
32098;Singular;Estructural;;RESIDENCIA DE PROFESORES;Ministro Ib†§ez Mart°n, 1 y 2;CALLE;MINISTRO IBA•EZ MARTIN;1;;439051,27;4476384,86
32146;Singular;Descatalogado;;UNED-CIENCIAS;;PASEO;SENDA DEL REY;9;;437589,52;4476559,48
32096;Singular;Estructural;;RESIDENCIA DE PROFESORES;Ministro Ib†§ez Mart°n, 5 y 6;CALLE;MINISTRO IBA•EZ MARTIN;5;;439078,76;4476617,57
32097;Singular;Estructural;;RESIDENCIA DE PROFESORES;Ministro Ib†§ez Mart°n, 3 y 4;CALLE;MINISTRO IBA•EZ MARTIN;3;;439069,16;4476521,06
25809;Singular;Parcial;;;;CALLE;MARQUES DE CUBAS;19;;440994,08;4474242,8
32133;Singular;Descatalogado;;CAMPOS DE DEPORTES-VESTUARIO PISCINA;;AVENIDA;JUAN DE HERRERA;1;;438097,62;4476719,83
32122;Singular;Estructural;BIC-Monumento;MUSEO DEL TRAJE;;CALLE;PAUL GUINARD;2;;438104,05;4476863
32124;Singular;Descatalogado;;AMPLIACI‡N ETS. ARQUITECTURA;;AVENIDA;JUAN DE HERRERA;4;;437990,01;4476806,64
32127;Singular;Descatalogado;;CAMPOS DE DEPORTES-PABELLON;;AVENIDA;JUAN DE HERRERA;1;;438097,62;4476719,83
32128;Singular;Descatalogado;;CAMPOS DE DEPORTES-PABELLON;;AVENIDA;JUAN DE HERRERA;1;;438097,62;4476719,83
