MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,20;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
4990385;SITUADO APARCABICICLETAS - C/ FARMACIA Nº 2;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;FARMACIA;2;11004888;
4990388;SITUADO APARCABICICLETAS - C/ SANTA BRÍGIDA Nº14;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;SANTA BRIGIDA;14;31045402;
4990391;SITUADO APARCABICICLETAS - C/ SANTA BRÍGIDA 12A;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;SANTA BRIGIDA;12 A;31048322;
4990393;SITUADO APARCABICICLETAS - C/ SANTA BRÍGIDA Nº2;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;SANTA BRIGIDA;2;11004936;
4990376;SITUADO APARCABICICLETAS - C/ HERNÁN CORTÉS Nº3;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;HERNAN CORTES;3;11004884;
4990435;SITUADO APARCABICICLETAS -  C/ SAN BARTOLOMÉ Nº 23;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;SAN BARTOLOME;23;11004526;
4990437;SITUADO APARCABICICLETAS - C/ AUGUSTO FIGUEROA Nº 35;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;AUGUSTO FIGUEROA;35;11004590;
4990439;SITUADO APARCABICICLETAS - C/ BARBIERI Nº 22;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;BARBIERI;22;20005608;
4990441;SITUADO APARCABICICLETAS - C/ AUGUSTO FIGUEROA Nº 16;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;AUGUSTO FIGUEROA;16;11004498;
4990444;SITUADO APARCABICICLETAS - C/ AUGUSTO FIGUEROA Nº 34;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;AUGUSTO FIGUEROA;34;11004667;
4990446;SITUADO APARCABICICLETAS - C/ AUGUSTO FIGUEROA Nº 36;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;AUGUSTO FIGUEROA;36;20005602;
4990448;SITUADO APARCABICICLETAS - C/ AUGUSTO FIGUEROA Nº 26;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;AUGUSTO FIGUEROA;26;11004665;
4990449;SITUADO APARCABICICLETAS - C/ SAN MARCOS Nº 40;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;SAN MARCOS;40;20005516;
4990452;SITUADO APARCABICICLETAS - C/ SAN MARCOS Nº33;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;SAN MARCOS;33;11004650;
4990455;SITUADO APARCABICICLETAS - C/ SAN MARCOS Nº 37;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;SAN MARCOS;37;11004660;
4990457;SOPORTE APARCABICICLETAS - C/ SAN MARCOS Nº 9;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;SAN MARCOS;9;11004516;
4990461;SITUADO APARCABICICLETAS - C/ SAN MARCOS Nº 19;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;SAN MARCOS;19;11004634;
4990463;SITUADO APARCABICICLETAS - C/ COSTANILLA DE LOS CAPUCHINOS Nº 2;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;COSTANILLA;CAPUCHINOS;2;20005558;
4990619;SITUADO APARCABICICLETAS - C/ INFANTAS 44;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;INFANTAS;44;20005460;
4990468;SITUADO APARCABICICLETAS - C/ REINA Nº 33;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;REINA;33;11004339;
4990471;SITUADO APARCABICICLETAS - C/ REINA Nº 17;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;REINA;17;11004308;
